35;Singapore;Singapour;新加坡;新加坡;Singapur;Singapura;싱가포르;シンガポール;Singapur;36;40;38;40;40;22;13;36
36;Malaysia;Malaisie;马来西亚;馬來西亞;Malasia;Malásia;말레이시아;マレーシア;Malaysia;25;27;23;28;29;12;37;22
37;Argentina;Argentine;阿根廷;阿根廷;Argentina;Argentina;아르헨티나;アルゼンチン;Argentinien;1;3;1;2;2;25;2;1
38;Philippines;Philippines;菲律宾;菲律賓;Filipinas;Filipinas;필리핀;フィリピン;Philippinen;31;33;15;18;18;43;27;29
39;Chile;Chili;智利;智利;Chile;Chile;칠레;チリ;Chile;9;11;45;10;10;33;19;7
40;Colombia;Colombie;哥伦比亚;哥倫比亞;Colombia;Colômbia;콜롬비아;コロンビア;Kolumbien;11;13;17;12;12;35;12;21
41;Dominican Republic;République dominicaine;多明尼加共和国;多明尼加共和國;República Dominicana;República Dominicana;도미니카 공화국;ドミニカ共和国;Dominikanische Republik;14;36;12;37;36;8;22;11
42;Peru;Pérou;秘鲁;秘魯;Perú;Peru;페루;ペルー;Peru;30;32;8;33;33;38;33;28
43;Venezuela;Venezuela;委內瑞拉;委內瑞拉;Venezuela;Venezuela;베네수엘라;ベネズエラ;Venezuela;46;46;34;46;46;15;32;44
44;New Zealand;Nouvelle-Zélande;新西兰;新西蘭;Nueva Zelanda;Nova Zelândia;뉴질랜드;ニュージーランド;Neuseeland;28;30;39;31;32;4;24;24
45;India;Inde;印度;印度;India;Índia;인도;インド;Indien;22;24;43;24;25;29;6;17
46;United Arab Emirates;Émirats arabes unis;阿拉伯联合酋长国;阿拉伯聯合酋長國;Emiratos Árabes Unidos;Emirados Árabes Unidos;아랍에미리트;アラブ首長国連邦;Vereinigte Arabische Emirate;44;16;2;15;15;23;1;45
